date,time,air_temp_mean_K,air_p_mean_Pa
6/12/2019,3:00:00,278.9567667,99041.36892
6/12/2019,3:30:00,278.7319,99043.7846
6/12/2019,4:00:00,278.4023667,99005.1409
6/12/2019,4:30:00,278.8130667,99005.1409
6/12/2019,5:00:00,279.8122,98641.68588
6/12/2019,5:30:00,280.9601667,98643.28804
6/12/2019,6:00:00,282.6206667,98647.94086
6/12/2019,6:30:00,284.4443333,98650.50677
6/12/2019,7:00:00,285.6333333,98647.37111
6/12/2019,7:30:00,286.5576667,98639.04928
6/12/2019,8:00:00,287.6716667,98634.47039
6/12/2019,8:30:00,288.1756667,98635.2569
6/12/2019,9:00:00,288.8986667,98631.34485
6/12/2019,9:30:00,289.9253333,98615.35758
6/12/2019,10:00:00,291.2373333,98591.15964
6/12/2019,10:30:00,292.0916667,98591.90796
6/12/2019,11:00:00,292.658,98581.13836
6/12/2019,11:30:00,292.8343333,98571.43338
6/12/2019,12:00:00,292.9313333,98555.53949
6/12/2019,12:30:00,292.7696667,98555.15236
6/12/2019,13:00:00,292.967,98554.99809
6/12/2019,13:30:00,293.1546667,98539.9662
6/12/2019,14:00:00,293.7526667,98509.89409
6/12/2019,14:30:00,293.781,98503.14187
6/12/2019,15:00:00,293.6576667,98502.29038
6/12/2019,15:30:00,294.2296667,98496.08023
6/12/2019,16:00:00,294.3643333,98480.84245
6/12/2019,16:30:00,294.6703333,98450.03857
6/12/2019,17:00:00,295.0366667,98439.44642
6/12/2019,17:30:00,295.0466667,98434.03559
6/12/2019,18:00:00,295.0806667,98420.20067
6/12/2019,18:30:00,295.002,98412.84805
6/12/2019,19:00:00,295.051,98408.80381
6/12/2019,19:30:00,294.694,98403.1164
6/12/2019,20:00:00,293.917,98422.06756
6/12/2019,20:30:00,291.4283333,99003.93353
6/12/2019,21:00:00,291.0933333,98468.6005
6/12/2019,21:30:00,290.136,98475.27207
6/12/2019,22:00:00,289.4086667,98482.91637
6/12/2019,22:30:00,289.4666667,98511.69423
6/12/2019,23:00:00,289.3673333,99018.42297
6/13/2019,0:00:00,286.8236667,99030.49913
6/13/2019,0:30:00,285.7236667,98624.08581
6/13/2019,1:00:00,284.9273333,98649.27142
6/13/2019,1:30:00,284.3186667,98657.1365
6/13/2019,2:00:00,283.441,98664.06115
6/13/2019,2:30:00,282.6523333,98685.27105
6/13/2019,3:00:00,281.7933333,98701.05269
6/13/2019,3:30:00,281.3254667,98729.97678
6/13/2019,4:00:00,280.6609333,98748.1044
6/13/2019,4:30:00,280.4531667,99042.57675
6/13/2019,5:00:00,280.9391,98782.79263
6/13/2019,5:30:00,282.1403333,98793.96464
